species,lon,lat
Tetrastigma,121.3256222,28.30214722
Tetrastigma,119.8782889,28.16218056
Tetrastigma,119.7688194,28.13481667
Tetrastigma,118.8761167,28.15585833
Tetrastigma,119.0960139,28.12659167
Tetrastigma,118.8056639,28.03382222
Tetrastigma,118.9695056,27.93629444
Tetrastigma,119.102975,27.88768889
Tetrastigma,119.013175,28.1768
Tetrastigma,119.3608306,28.21704444
Tetrastigma,119.3606889,27.64440833
Tetrastigma,119.145325,27.71310833
Tetrastigma,119.2275,27.44641667
Tetrastigma,119.7526417,27.84746389
Tetrastigma,119.5283083,27.681075
Tetrastigma,119.4258389,27.83555833
Tetrastigma,119.3772444,28.32026389
Tetrastigma,118.8471583,28.38558889
Tetrastigma,120.4193611,27.96795833
Tetrastigma,120.8685,28.18521667
Tetrastigma,120.6304639,28.18503333
Tetrastigma,120.6134028,28.36095833
Tetrastigma,121.1270667,27.9685
Tetrastigma,121.1280139,27.83651944
Tetrastigma,120.16865,27.54423611
Tetrastigma,120.2763167,27.59930278
Tetrastigma,120.2923556,27.85634167
Tetrastigma,120.0428972,27.83458056
Tetrastigma,119.7500972,27.36515833
Tetrastigma,119.6704389,27.70966389
