lon,lat,Tetrastigma
115.7766,27.25595278,1
114.0431278,25.36610556,1
114.3947444,25.58813889,1
115.2128722,25.39528889,1
115.6797417,24.80841944,1
114.2797222,27.36888889,1
114.4158333,27.52055556,1
114.1678556,26.61720556,1
114.1272222,20.03694444,1
114.4025,26.11666667,1
115.9720583,29.59393611,1
115.2957444,29.15866944,1
114.8520306,28.847275,1
118.0173944,28.903825,1
115.1998083,28.96801667,1
114.5161806,28.55757222,1
95.04406944,29.18450278,1
103.6874389,22.94634167,1
103.10725,22.98783056,1
103.9124083,23.31393056,1
104.7137389,22.87245,1
105.5205111,23.52187222,1
102.2531806,24.89648056,1
114.8518556,29.41476111,1
110.8800833,31.05903056,1
110.8954444,31.60221389,1
110.4415833,31.44602222,1
109.8179167,30.16339167,1
109.4087444,30.13086389,1
109.0601694,30.00808611,1
109.1363306,29.30136944,1
108.5316333,31.89417222,1
108.74535,30.66824444,1
109.9741389,31.41798889,1
106.4158111,29.84772778,1
107.2128139,29.14036667,1
109.2124556,31.2574,1
109.5026111,19.09183333,1
108.8145722,18.69644444,1
109.5166083,31.90043333,1
114.3864111,23.24956944,1
116.614775,23.90535,1
111.8628722,23.42026389,1
114.9676472,24.46756111,1
113.4645917,25.26399167,1
114.1421389,23.881675,1
113.8492556,23.64296111,1
116.3511972,24.19033611,1
115.9445056,24.90508333,1
114.2038667,22.57967778,1
114.2639194,22.61317222,1
111.6717028,22.41795,1
112.5408667,23.17239167,1
113.6572861,24.44529444,1
106.7181667,22.89663889,1
110.6067278,25.419875,1
108.0145639,25.12633889,1
107.9237889,25.912575,1
106.5624306,24.33626667,1
106.7382889,22.65452778,1
106.8952778,22.48416667,1
107.6332722,22.96431111,1
105.1450028,24.64606111,1
108.7597556,25.12932222,1
106.0002778,23.00214444,1
105.3600556,24.231,1
108.21695,22.07246667,1
109.1477639,25.38731667,1
107.8937639,21.88858056,1
107.0274861,25.182175,1
106.349525,24.45233889,1
106.3461111,24.50611111,1
109.649,25.148,1
109.8407222,25.25794444,1
109.6505722,25.01255278,1
110.1189028,25.00124167,1
109.6969306,25.58166389,1
110.6491333,25.13367778,1
106.4408,24.46038611,1
107.557,22.94308333,1
105.6024472,25.27673056,1
105.9777917,27.15948611,1
105.9721278,28.234275,1
108.1200917,28.29148056,1
108.7692556,27.84963611,1
108.8853806,27.78142778,1
109.2395194,26.53824444,1
109.2265278,26.73983333,1
106.7402778,27.5075,1
108.123175,26.27807778,1
107.8747194,27.13008889,1
108.1542556,27.33907222,1
108.8366111,28.05863333,1
107.0975972,28.07935278,1
106.1015389,25.19884167,1
103.6293389,31.08695556,1
103.4952889,30.87713889,1
103.7162806,31.0634,1
103.3760056,29.58024722,1
103.5752194,28.25965278,1
102.0984889,29.61013889,1
102.7687056,30.15159722,1
108.30405,32.09575,1
104.2228167,28.84543333,1
105.5272222,28.27277778,1
105.3947222,28.16527778,1
105.3236111,28.15166667,1
110.3099917,26.08851389,1
110.5054778,29.36648889,1
110.4248,29.33043889,1
114.0650278,28.43154444,1
110.1870139,27.01692778,1
110.0576083,29.71290833,1
110.655775,30.00825,1
110.1019778,26.42150278,1
109.3362833,28.69538333,1
109.5953667,28.54693889,1
109.4980083,28.78151389,1
110.0584444,28.73881667,1
109.9012389,28.82950833,1
112.8944583,24.98353056,1
109.82865,29.16921111,1
110.2287917,28.77225278,1
110.4565139,28.7581,1
109.4723306,27.50808056,1
109.5591833,27.53124444,1
118.1220972,26.69722778,1
118.1172028,26.64229722,1
117.28505,26.48015556,1
116.7797917,25.27654722,1
116.8678806,25.27374444,1
117.5495361,26.96320556,1
119.3930417,26.05648889,1
119.093175,25.89678889,1
117.1427833,24.55449444,1
118.1344444,27.03944444,1
116.8943139,25.18471944,1
120.1092333,27.37369167,1
119.8708722,27.28279167,1
121.5291361,25.08065556,1
121.5605139,24.90496389,1
118.9811889,30.06085,1
118.6426194,29.20699722,1
120.0134028,30.18609167,1
121.8620528,29.83305278,1
121.876025,29.79102778,1
121.7886056,29.8102,1
121.2393639,29.79504444,1
121.160725,29.62580556,1
121.5823611,29.38634722,1
121.7533472,29.42001111,1
122.26425,30.02469444,1
122.2744444,29.82166667,1
121.9163028,30.03472222,1
122.3893417,30.01741944,1
119.4088833,28.77524722,1
119.4944639,28.78124167,1
119.5217194,28.92956111,1
120.0325389,28.82539444,1
119.513919,28.648358,1
120.4287944,28.88176389,1
118.9405556,28.73870833,1
118.8337556,29.152775,1
119.0790611,28.88038611,1
118.7914694,29.23927222,1
118.5992806,28.26906111,1
118.6620139,28.32135,1
118.5947139,28.33371944,1
118.1536139,29.03126667,1
118.1171083,29.24742778,1
118.3640028,28.93464167,1
120.888275,28.5107,1
121.695369,28.892564,1
120.5851085,28.54359981,1
120.5813942,28.572603,1
120.562675,28.614049,1
121.0918056,29.26516944,1
121.4901861,28.85429167,1
121.2635833,28.42380556,1
121.3256222,28.30214722,1
119.8782889,28.16218056,1
119.7688194,28.13481667,1
118.8761167,28.15585833,1
119.0960139,28.12659167,1
118.8056639,28.03382222,1
118.9695056,27.93629444,1
119.102975,27.88768889,1
119.0156833,28.17605,1
119.3608306,28.21704444,1
119.3606889,27.64440833,1
119.145325,27.71310833,1
119.2275,27.44641667,1
119.7526417,27.84746389,1
119.5283083,27.681075,1
119.4099222,27.70039167,1
119.4258389,27.83555833,1
119.3772444,28.32026389,1
118.8471583,28.38558889,1
119.7034194,28.16358611,1
119.9092639,28.20819167,1
120.4193611,27.96795833,1
120.3981306,28.02945278,1
120.415725,28.04724444,1
120.8685,28.18521667,1
120.6304639,28.18503333,1
120.6134028,28.36095833,1
121.1270667,27.9685,1
121.1280139,27.83651944,1
120.16865,27.54423611,1
120.2763167,27.59930278,1
120.2495806,27.50197222,1
120.1775472,27.50853889,1
120.12905,27.53542778,1
120.3442333,27.54275833,1
120.2923556,27.85634167,1
120.0428972,27.83458056,1
119.7500972,27.36515833,1
119.8087028,27.75741667,1
119.6704389,27.70966389,1
119.7493111,27.65775833,1
101.56752,21.475834,1
102.23,29.91,1
102.75,30.06,1
103.39,29.49,1
103.844297,30.101484,1
104.37,28.83,1
104.672252,23.437468,1
105.334672,24.68123,1
105.39,25.13,1
105.630906,23.625319,1
106.2,28.32,1
107.28,29.68,1
107.97,26.58,1
108.053037,21.613427,1
108.23,27.51,1
108.4,27.99,1
108.85,27.69,1
108.93,30.29,1
109.15,29.67,1
109.172452,25.031795,1
109.2,28.15,1
109.40694,29.499798,1
109.41,31.05,1
109.47,30.29,1
109.48,29.99,1
109.592453,25.635742,1
109.65,25.25,1
109.83,27.2,1
109.85,29,1
109.85442,24.045429,1
110.040007,25.742153,1
110.050532,25.255089,1
110.16,29.39,1
110.311897,26.355276,1
110.39,28.45,1
110.462487,23.519195,1
